🐧	Penguin	Animals & nature
🐨	Koala	Animals & nature
🐩	Poodle	Smileys
🐪	Dromedary Camel	Animals & nature
🐫	Bactrian Camel	Animals & nature
🐬	Dolphin	Animals & nature
🐭	Mouse Face	Smileys
🐮	Cow Face	Smileys
🐯	Tiger Face	Smileys
🐰	Rabbit Face	Smileys
🐱	Cat Face	Smileys
🐲	Dragon Face	Smileys
🐳	Spouting Whale	People
🐴	Horse Face	Smileys
🐵	Monkey Face	Smileys
🐶	Dog Face	Smileys
🐷	Pig Face	Smileys
🐸	Frog Face	Smileys
🐹	Hamster Face	Smileys
🐺	Wolf Face	Smileys
🐻	Bear Face	Smileys
🐼	Panda Face	Smileys
🐽	Pig Nose	People
🐾	Paw Prints	Animals & nature
🐿	Chipmunk	Animals & nature
👀	Eyes	People
👁	Eye	People
👂	Ear	People
👃	Nose	People
👄	Mouth	Other
👅	Tongue	People
👆	White Up Pointing Backhand Index	People
👇	White Down Pointing Backhand Index	People
👈	White Left Pointing Backhand Index	People
👉	White Right Pointing Backhand Index	People
👊	Fisted Hand Sign	People
👋	Waving Hand Sign	People
👌	Ok Hand Sign	People
👍	Thumbs Up Sign	People
👎	Thumbs Down Sign	People
👏	Clapping Hands Sign	People
👐	Open Hands Sign	People
👑	Crown	Activities & objects
👒	Womans Hat	People
👓	Eyeglasses	People
👔	Necktie	Other
👕	T-Shirt	Activities & objects
👖	Jeans	Activities & objects
👗	Dress	Activities & objects
👘	Kimono	Activities & objects
👙	Bikini	Activities & objects
👚	Womans Clothes	People
👛	Purse	Activities & objects
👜	Handbag	People
👝	Pouch	Activities & objects
👞	Mans Shoe	People
👟	Athletic Shoe	Activities & objects
👠	High-Heeled Shoe	Activities & objects
👡	Womans Sandal	People
👢	Womans Boots	People
👣	Footprints	People
👤	Bust In Silhouette	People
👥	Busts In Silhouette	People
👦	Boy	People
👧	Girl	People
👨	Man	People
👩	Woman	People
👪	Family	People
👫	Man And Woman Holding Hands	People
👬	Two Men Holding Hands	People
👭	Two Women Holding Hands	People
👮	Police Officer	Food & drink
👯	Woman With Bunny Ears	People
👰	Bride With Veil	Other
👱	Person With Blond Hair	People
👲	Man With Gua Pi Mao	People
👳	Man With Turban	People
👴	Older Man	People
👵	Older Woman	People
👶	Baby	People
👷	Construction Worker	Travel & places
👸	Princess	People
👹	Japanese Ogre	Smileys
👺	Japanese Goblin	Smileys
👻	Ghost	Smileys
👼	Baby Angel	People
👽	Extraterrestrial Alien	Smileys
👾	Alien Monster	Smileys
👿	Imp	Other
💀	Skull	Smileys
💁	Information Desk Person	People
💂	Guardsman	People
💃	Dancer	People
💄	Lipstick	Activities & objects
💅	Nail Polish	People
💆	Face Massage	Smileys
💇	Haircut	People
💈	Barber Pole	Other
💉	Syringe	Activities & objects
💊	Pill	Activities & objects
💋	Kiss Mark	Smileys
💌	Love Letter	Other
💍	Ring	Activities & objects
💎	Gem Stone	Activities & objects
💏	Kiss	Smileys
💐	Bouquet	Animals & nature
💑	Couple With Heart	People
💒	Wedding	Other
💓	Beating Heart	People
💔	Broken Heart	People
💕	Two Hearts	People
💖	Sparkling Heart	People
💗	Growing Heart	People
💘	Heart With Arrow	People
💙	Blue Heart	People
